sample	cutoff	precision	recall	specificity	1-PPV	TP	TN	FP	FN	log(q-cut)	log(1-PPV)
FFPE-Colon-Tumoral_B00GXLQ	4.5348785081285915e-11	0.8913043478260869	0.9111111111111111	0.5454545454545454	0.10869565217391308	123	18	15	12	-23.81663772955457	-2.219203484054994
FFPE-Colon-Tumoral_B00GXLQ	6.579332246575682e-11	0.8913043478260869	0.9111111111111111	0.5454545454545454	0.10869565217391308	123	18	15	12	-23.444502765030283	-2.219203484054994
FFPE-Colon-Tumoral_B00GXLQ	9.545484566618327e-11	0.8920863309352518	0.9185185185185185	0.5454545454545454	0.1079136690647482	124	18	15	11	-23.072367800505994	-2.226423732028482
FFPE-Colon-Tumoral_B00GXLQ	1.3848863713938747e-10	0.8857142857142857	0.9185185185185185	0.5151515151515151	0.11428571428571432	124	17	16	11	-22.7002328359817	-2.1690537003695227
FFPE-Colon-Tumoral_B00GXLQ	2.009233002565054e-10	0.8794326241134752	0.9185185185185185	0.48484848484848486	0.12056737588652477	124	16	17	11	-22.32809787145741	-2.1155465463219527
FFPE-Colon-Tumoral_B00GXLQ	2.915053062825182e-10	0.8794326241134752	0.9185185185185185	0.48484848484848486	0.12056737588652477	124	16	17	11	-21.95596290693312	-2.1155465463219527
FFPE-Colon-Tumoral_B00GXLQ	4.229242874389499e-10	0.875	0.9333333333333333	0.45454545454545453	0.125	126	15	18	9	-21.58382794240883	-2.0794415416798357
FFPE-Colon-Tumoral_B00GXLQ	6.135907273413188e-10	0.875	0.9333333333333333	0.45454545454545453	0.125	126	15	18	9	-21.21169297788454	-2.0794415416798357
FFPE-Colon-Tumoral_B00GXLQ	8.902150854450393e-10	0.875	0.9333333333333333	0.45454545454545453	0.125	126	15	18	9	-20.83955801336025	-2.0794415416798357
FFPE-Colon-Tumoral_B00GXLQ	1.2915496650148826e-9	0.875	0.9333333333333333	0.45454545454545453	0.125	126	15	18	9	-20.46742304883596	-2.0794415416798357
FFPE-Colon-Tumoral_B00GXLQ	1.873817422860387e-9	0.875	0.9333333333333333	0.45454545454545453	0.125	126	15	18	9	-20.09528808431167	-2.0794415416798357
FFPE-Colon-Tumoral_B00GXLQ	2.7185882427329512e-9	0.875	0.9333333333333333	0.45454545454545453	0.125	126	15	18	9	-19.723153119787376	-2.0794415416798357
FFPE-Colon-Tumoral_B00GXLQ	3.944206059437664e-9	0.8689655172413793	0.9333333333333333	0.42424242424242425	0.13103448275862073	126	14	19	9	-19.351018155263088	-2.0322947632541335
FFPE-Colon-Tumoral_B00GXLQ	5.72236765935022e-9	0.8689655172413793	0.9333333333333333	0.42424242424242425	0.13103448275862073	126	14	19	9	-18.9788831907388	-2.0322947632541335
FFPE-Colon-Tumoral_B00GXLQ	8.302175681319769e-9	0.8689655172413793	0.9333333333333333	0.42424242424242425	0.13103448275862073	126	14	19	9	-18.606748226214506	-2.0322947632541335
FFPE-Colon-Tumoral_B00GXLQ	1.2045035402587836e-8	0.8689655172413793	0.9333333333333333	0.42424242424242425	0.13103448275862073	126	14	19	9	-18.234613261690217	-2.0322947632541335
FFPE-Colon-Tumoral_B00GXLQ	1.7475284000076902e-8	0.8689655172413793	0.9333333333333333	0.42424242424242425	0.13103448275862073	126	14	19	9	-17.862478297165925	-2.0322947632541335
