"case_id"	"wtype"	"vcf_fid"	"model"	"auroc"	"auprc"
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"somaticsniper"	"cf9257d2-9d4d-4062-857b-9f5a7684e410"	"sobdetector"	0.698067704212143	0.230926673847525
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"somaticsniper"	"cf9257d2-9d4d-4062-857b-9f5a7684e410"	"microsec"	0.595744714037589	0.167047879404595
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"varscan2"	"c2ec3ac0-a6e8-456c-b5aa-523adb91e5d6"	"mobsnvf"	0.69696392276423	0.352579461597799
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"varscan2"	"c2ec3ac0-a6e8-456c-b5aa-523adb91e5d6"	"vafsnvf"	0.729484247967479	0.362651794377252
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"varscan2"	"c2ec3ac0-a6e8-456c-b5aa-523adb91e5d6"	"sobdetector"	0.659362296747968	0.300215109055362
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"varscan2"	"c2ec3ac0-a6e8-456c-b5aa-523adb91e5d6"	"microsec"	0.636178861788618	0.295644907320297
"418a004e-d5a9-461b-8764-4b581b6b8223"	"muse"	"08a1a0f1-054a-4a75-9c20-d048c14f3de1"	"mobsnvf"	0.910447761194034	0.88149449893328
"418a004e-d5a9-461b-8764-4b581b6b8223"	"muse"	"08a1a0f1-054a-4a75-9c20-d048c14f3de1"	"vafsnvf"	0.791309410394833	0.784383111980477
"418a004e-d5a9-461b-8764-4b581b6b8223"	"muse"	"08a1a0f1-054a-4a75-9c20-d048c14f3de1"	"sobdetector"	0.724780353551391	0.627856012868194
"418a004e-d5a9-461b-8764-4b581b6b8223"	"muse"	"08a1a0f1-054a-4a75-9c20-d048c14f3de1"	"microsec"	0.631337990896582	0.589351381433325
"418a004e-d5a9-461b-8764-4b581b6b8223"	"muse"	"24eda4a0-d974-4c6a-b745-b8e12a93576e"	"mobsnvf"	0.700591347650168	0.810778978214343
"418a004e-d5a9-461b-8764-4b581b6b8223"	"muse"	"24eda4a0-d974-4c6a-b745-b8e12a93576e"	"vafsnvf"	0.706115779645191	0.79766617310438
