"sample_id"	"variant_caller"	"model"	"auroc"	"auprc"
"d976782c-90c1-421d-b83c-7fc2617e2709_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999996	0.00212811926109701
"d976782c-90c1-421d-b83c-7fc2617e2709_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500514769050537	0.00213031340990286
"dc6ceece-efaa-4b9d-9e12-d35863d7a902_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.94510301340568	0.0667553052187853
"dc6ceece-efaa-4b9d-9e12-d35863d7a902_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0544349023848421	0.000251553635713662
"dc6ceece-efaa-4b9d-9e12-d35863d7a902_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.867051407160768	0.00214376635910015
"dc6ceece-efaa-4b9d-9e12-d35863d7a902_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000239	0.000477170592046789
"dc6ceece-efaa-4b9d-9e12-d35863d7a902_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500156757680804	0.000477320167846169
"eb4e4e09-98b3-4e85-8dd2-75676ff2af14_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.928657486876432	0.189193616439909
"eb4e4e09-98b3-4e85-8dd2-75676ff2af14_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0999867862882344	0.000800401785803851
"eb4e4e09-98b3-4e85-8dd2-75676ff2af14_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.866599476190594	0.0192976345122034
"eb4e4e09-98b3-4e85-8dd2-75676ff2af14_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999491	0.00153355162266095
"eb4e4e09-98b3-4e85-8dd2-75676ff2af14_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500228310502011	0.00153425111958955
"ebc094a6-cdc9-4c02-b8ec-a181b25a364d_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.960914663638432	0.0855570928602815
"ebc094a6-cdc9-4c02-b8ec-a181b25a364d_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0390664664389509	0.00122054649100789
"ebc094a6-cdc9-4c02-b8ec-a181b25a364d_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.888800954424455	0.0141675367818471
"ebc094a6-cdc9-4c02-b8ec-a181b25a364d_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000371	0.00234973250813071
"ebc094a6-cdc9-4c02-b8ec-a181b25a364d_mutect2-tumor-only"	"MuTect2"	"gatk"	0.501882110487409	0.00235858990018091
"f130f376-5801-40f9-975d-a7e2f7b5670d_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.875148050523584	0.0336208382385509
"f130f376-5801-40f9-975d-a7e2f7b5670d_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.31493098450289	0.000515501520270273
"f130f376-5801-40f9-975d-a7e2f7b5670d_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.899816937182072	0.00502843980409127
"f130f376-5801-40f9-975d-a7e2f7b5670d_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999759	0.000774562570752468
"f130f376-5801-40f9-975d-a7e2f7b5670d_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500248449673996	0.000774947343321605
"f2622cdb-ac92-42b3-a1ca-67e133c3dd4a_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.966907716026715	0.0474368647735262
"f2622cdb-ac92-42b3-a1ca-67e133c3dd4a_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0715217803929219	0.000393407613499666
"f2622cdb-ac92-42b3-a1ca-67e133c3dd4a_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.811625162724103	0.00232529088177079
"f2622cdb-ac92-42b3-a1ca-67e133c3dd4a_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999615	0.000751948647409234
"f2622cdb-ac92-42b3-a1ca-67e133c3dd4a_mutect2-tumor-only"	"MuTect2"	"gatk"	0.499999999999615	0.000751948647409234
"fb79c491-7b01-42ae-8369-8364e442e31b_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.904176270513348	0.205965986409077
"fb79c491-7b01-42ae-8369-8364e442e31b_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.141992334187968	0.00459201445236104
"fb79c491-7b01-42ae-8369-8364e442e31b_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.882639914018458	0.0422209069766509
"fb79c491-7b01-42ae-8369-8364e442e31b_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000012	0.00796656654042039
"fb79c491-7b01-42ae-8369-8364e442e31b_mutect2-tumor-only"	"MuTect2"	"gatk"	0.528467312390547	0.0084478162173329
